Ticker,final_score,rating,price,analyst_weighted_score,analyst_number,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_under_perform,technical_score,vs50MA%,vs200MA%,RSI,VolSurge,1D%,1W%,1M%,AnnVol%,MaxDD%,RelStrength_AvgBench,RelStrength_vs_SPY,RelStrength_vs_DJI,RelStrength_vs_SPX,RelStrength_vs_IXIC,Flags
VRTX,65.76,Hold,522.57,75.6,32,20,6,4,1,1,51,1.5,-1.7,58.4,0.86,-0.3,3.3,-4.3,28.9,-29.4,2.3,2.2,3.6,2.2,1.1,"MACD+, BeatingAvgBench, BeatingAllBench"
AVGO,65.35,Hold,350.27,86.25,50,40,7,3,0,0,34,-0.8,-3.2,21.3,0.9,0.5,-1.2,-5.0,46.8,-43.4,-2.2,-2.3,-0.9,-2.4,-3.4,"Downtrend, Oversold(RSI)"
MCHP,65.03,Hold,74.69,76.39,26,18,2,6,0,0,48,1.9,0.9,43.3,1.45,0.8,3.9,-0.6,45.2,-65.0,2.8,2.7,4.2,2.7,1.7,"BeatingAvgBench, BeatingAllBench"
ETN,65.02,Hold,439.81,77.03,27,18,5,3,0,1,47,3.4,5.6,43.3,0.61,1.1,5.1,4.5,34.7,-36.6,4.1,4.0,5.5,4.0,3.0,"Uptrend, BeatingAvgBench, BeatingAllBench"
AZO,65.02,Hold,2864.16,77.7,27,18,5,4,0,0,46,-0.1,-2.8,44.8,1.28,-0.0,0.4,-2.7,24.4,-36.2,-0.6,-0.7,0.8,-0.7,-1.8,Downtrend
SMTC,64.73,Hold,174.49,77.88,16,14,1,1,0,0,45,0.3,17.2,50.1,0.89,3.3,-4.4,20.8,71.8,-69.6,-5.4,-5.5,-4.0,-5.5,-6.5,"Uptrend, MACD+"
NVT,64.67,Hold,162.86,77.78,17,15,1,0,0,1,45,3.5,4.3,50.9,0.69,2.1,4.2,4.6,42.6,-49.9,3.2,3.1,4.6,3.1,2.1,"Uptrend, BeatingAvgBench, BeatingAllBench"
SW,64.51,Hold,45.99,76.85,17,12,5,0,0,0,46,0.8,-0.8,44.8,1.32,1.5,3.3,-6.6,39.1,-42.3,2.3,2.2,3.7,2.2,1.2,"BeatingAvgBench, BeatingAllBench"
XYZ,64.29,Hold,76.73,79.82,47,29,10,8,0,0,41,-0.1,-4.3,45.8,0.92,0.9,0.1,-9.5,50.8,-52.0,-0.9,-1.0,0.5,-1.0,-2.0,"Downtrend, MACD+"
EQIX,64.19,Hold,1034.99,78.98,34,23,5,6,0,0,42,-0.2,-1.3,31.0,0.82,0.0,1.2,-5.0,27.1,-26.9,0.2,0.1,1.6,0.1,-0.9,"Downtrend, BeatingAvgBench"
CRH,64.13,Hold,83.91,79.55,23,17,5,1,0,0,41,-2.8,-8.2,24.0,1.77,-0.4,-2.3,-12.6,30.8,-36.4,-3.3,-3.4,-1.9,-3.4,-4.4,"Downtrend, Oversold(RSI), VolumeSurge"
PR,64.13,Hold,21.86,79.55,23,18,3,2,0,0,41,-2.3,-5.4,64.0,1.05,-1.1,-4.5,-4.0,36.3,-44.3,-5.5,-5.6,-4.1,-5.6,-6.6,"Downtrend, MACD+"
TTWO,64.0,Hold,202.98,83.33,29,25,3,0,0,1,35,-2.6,-8.9,38.6,0.9,-1.9,-2.0,-12.1,29.7,-28.6,-3.0,-3.2,-1.7,-3.2,-4.2,Downtrend
UAL,63.97,Hold,111.16,79.29,25,19,4,1,0,1,41,0.6,-0.4,31.0,1.17,1.5,2.4,-2.2,47.9,-52.5,1.4,1.3,2.8,1.3,0.3,"BeatingAvgBench, BeatingAllBench"
UBER,63.95,Hold,69.18,79.92,51,33,9,8,1,0,40,-1.7,-7.1,40.2,0.84,-1.0,-1.6,-9.5,37.2,-35.0,-2.7,-2.8,-1.3,-2.8,-3.8,"Downtrend, MACD+"
BAC,63.88,Hold,56.05,76.47,24,15,6,3,0,0,45,-2.2,-8.3,44.9,1.2,-0.5,-3.2,-8.7,25.4,-30.2,-4.2,-4.3,-2.8,-4.3,-5.3,"Downtrend, MACD+"
BA,63.82,Hold,196.7,77.7,27,18,5,4,0,0,43,-1.7,-6.1,46.7,1.59,-0.1,0.1,-6.5,34.4,-49.8,-0.9,-1.0,0.5,-1.0,-2.0,"Downtrend, VolumeSurge"
DASH,63.44,Hold,187.47,77.73,45,26,9,10,0,0,42,-2.6,-11.7,38.9,1.62,0.2,-3.0,-19.2,42.0,-48.2,-4.0,-4.1,-2.6,-4.1,-5.2,"Downtrend, VolumeSurge, MACD+"
LTH,63.25,Hold,39.87,76.09,13,11,2,0,0,0,44,-0.4,-6.6,68.3,1.13,0.1,-3.4,-10.6,40.6,-27.0,-4.4,-4.5,-3.0,-4.5,-5.5,"Downtrend, MACD+"
WMB,63.21,Hold,70.6,78.68,24,17,5,2,0,0,40,-1.4,-3.4,44.3,0.64,-0.1,-3.0,-3.8,24.2,-14.6,-4.0,-4.1,-2.6,-4.1,-5.2,Downtrend
EPRT,63.1,Hold,26.48,79.17,20,16,3,1,0,0,39,-1.7,-9.8,25.5,1.24,-1.0,-1.9,-13.4,20.0,-24.1,-2.9,-3.0,-1.5,-3.0,-4.0,"Downtrend, Oversold(RSI)"
GE,63.0,Hold,319.72,75.0,22,15,3,3,0,1,45,0.8,-4.5,51.0,0.99,-0.1,2.3,-7.9,30.0,-22.9,1.3,1.2,2.7,1.2,0.1,"BeatingAvgBench, BeatingAllBench"
BKNG,62.95,Hold,157.39,79.59,39,26,6,7,0,0,38,-4.8,-17.0,30.2,1.35,-0.2,-6.7,-23.4,30.5,-34.6,-7.8,-7.9,-6.4,-7.9,-8.9,"Downtrend, MACD+"
TRGP,62.87,Hold,283.1,78.12,22,15,6,1,0,0,40,-1.5,-2.6,52.2,0.94,-0.4,-3.9,-1.3,29.9,-32.6,-4.9,-5.0,-3.6,-5.1,-6.1,Downtrend
FANG,62.8,Hold,188.95,78.66,31,21,5,5,0,0,39,-1.1,-5.9,63.8,0.74,-0.8,-2.8,-5.3,33.7,-45.2,-3.8,-3.9,-2.4,-3.9,-4.9,"Downtrend, MACD+"
HWM,62.76,Hold,229.4,77.27,23,16,4,3,0,0,41,0.9,-8.3,65.1,0.51,-0.2,1.2,-13.7,34.5,-26.0,0.2,0.1,1.6,0.1,-1.0,"MACD+, BeatingAvgBench"
CRM,62.74,Hold,238.31,76.56,54,32,6,14,0,2,42,-1.0,1.1,64.7,0.7,-0.5,-0.3,-3.7,38.1,-59.8,-1.3,-1.4,0.0,-1.5,-2.5,MACD+
CVS,62.63,Hold,85.05,79.05,27,18,7,2,0,0,38,-3.9,-8.8,23.7,1.24,-0.7,-3.9,-8.7,33.9,-46.9,-4.9,-5.0,-3.5,-5.0,-6.0,"Downtrend, Oversold(RSI), MACD+"
COF,62.2,Hold,196.6,75.0,23,14,5,4,0,0,43,-2.4,-7.4,31.9,1.27,0.5,-2.6,-9.3,34.0,-32.2,-3.6,-3.7,-2.2,-3.7,-4.7,"Downtrend, MACD+"
DLR,62.07,Hold,181.05,80.11,34,24,5,5,0,0,35,-1.5,-3.6,16.9,0.79,-0.5,-1.4,-7.0,29.2,-32.8,-2.5,-2.6,-1.1,-2.6,-3.6,"Downtrend, Oversold(RSI)"
VST,61.7,Hold,137.92,77.5,20,15,4,0,0,1,38,-2.1,-3.0,37.2,0.88,1.0,-2.8,-1.8,54.3,-52.4,-3.8,-3.9,-2.4,-3.9,-4.9,"Downtrend, MACD+"
LITE,61.05,Hold,928.97,77.08,26,17,5,4,0,0,37,0.1,2.7,34.7,0.91,0.5,2.3,-0.2,72.5,-53.8,1.3,1.2,2.6,1.1,0.1,"Uptrend, BeatingAvgBench, BeatingAllBench"
OVV,61.01,Hold,60.51,75.68,27,16,6,5,0,0,39,-1.5,-5.9,65.1,0.86,-0.6,-3.1,-6.0,37.2,-45.9,-4.1,-4.2,-2.7,-4.2,-5.3,"Downtrend, MACD+"
WMS,61.0,Hold,128.82,75.0,12,10,2,0,0,0,40,0.7,-4.5,39.3,1.0,0.2,2.5,-7.5,37.3,-46.1,1.5,1.4,2.8,1.3,0.3,"BeatingAvgBench, BeatingAllBench"
HOOD,60.6,Hold,120.81,75.0,29,18,6,3,1,1,39,2.5,9.2,35.4,0.6,-1.8,1.3,9.8,67.6,-58.1,0.3,0.2,1.7,0.2,-0.8,"Uptrend, BeatingAvgBench"
CCL,60.57,Hold,21.8,76.28,29,18,5,6,0,0,37,-1.6,-9.2,39.7,1.38,0.9,-0.8,-14.2,45.6,-44.1,-1.8,-1.9,-0.4,-1.9,-2.9,Downtrend
BSX,60.57,Hold,44.7,75.61,31,17,8,6,0,0,38,1.4,-4.7,44.8,0.66,-0.5,2.7,-5.8,28.2,-60.9,1.7,1.6,3.1,1.6,0.6,"BeatingAvgBench, BeatingAllBench"
NXT,60.51,Hold,79.99,78.85,29,19,7,3,0,0,33,-1.4,-5.9,38.3,0.99,2.3,-0.7,-11.2,61.2,-50.9,-1.7,-1.8,-0.3,-1.8,-2.8,Downtrend
RPM,60.4,Hold,98.73,76.0,15,12,2,1,0,0,37,-0.8,-5.0,33.5,0.69,-0.1,0.3,-6.3,26.6,-34.1,-0.7,-0.8,0.7,-0.8,-1.8,Downtrend
ABT,59.82,Neutral,101.07,77.03,27,18,4,5,0,0,34,-1.7,-6.7,26.8,0.81,-1.9,-1.7,-9.9,22.6,-41.6,-2.7,-2.8,-1.3,-2.8,-3.8,"Downtrend, Oversold(RSI)"
ADSK,59.68,Neutral,211.44,78.8,36,23,7,6,0,0,31,-3.0,-10.1,24.5,1.07,-1.6,-2.7,-20.9,32.1,-43.4,-3.7,-3.8,-2.3,-3.8,-4.8,"Downtrend, Oversold(RSI)"
MTDR,59.57,Neutral,52.96,76.61,21,15,3,3,0,0,34,-4.3,-8.2,60.6,0.88,-0.4,-7.2,-3.9,40.7,-49.2,-8.2,-8.3,-6.8,-8.3,-9.3,"Downtrend, MACD+"
MP,58.83,Neutral,49.31,76.72,19,13,5,1,0,0,32,0.1,-8.6,31.4,1.03,1.0,3.5,-15.8,73.9,-61.8,2.5,2.4,3.9,2.4,1.3,"BeatingAvgBench, BeatingAllBench"
CEG,58.6,Neutral,261.71,75.0,22,13,6,3,0,0,34,0.1,-5.0,45.3,0.61,0.7,2.0,-7.7,49.1,-52.3,1.0,0.9,2.4,0.9,-0.1,BeatingAvgBench
KNX,58.6,Neutral,65.51,75.0,21,15,3,2,1,0,34,-1.6,-4.6,32.9,0.63,-1.7,-0.4,-5.0,35.5,-38.5,-1.4,-1.5,0.0,-1.5,-2.5,Downtrend
TYL,57.8,Neutral,326.85,75.0,22,13,6,3,0,0,32,-2.8,-6.6,40.8,0.84,-1.0,-3.3,-10.8,31.5,-58.1,-4.3,-4.5,-3.0,-4.5,-5.5,Downtrend
THC,57.0,Neutral,249.54,75.0,23,14,5,4,0,0,30,-4.2,-6.2,17.6,0.82,-2.9,-3.6,-7.8,39.7,-35.4,-4.6,-4.8,-3.3,-4.8,-5.8,"Downtrend, Oversold(RSI)"
KGS,57.0,Neutral,52.8,75.0,15,10,5,0,0,0,30,-6.7,-12.0,28.3,0.99,-0.1,-10.5,-10.4,37.8,-41.1,-11.5,-11.6,-10.1,-11.6,-12.6,"Downtrend, Oversold(RSI), MACD+"
AAPL,56.52,Neutral,335.87,66.2,44,19,6,13,3,3,42,-0.2,4.0,34.3,0.58,-0.5,0.4,8.1,26.2,-33.3,-0.6,-0.7,0.8,-0.7,-1.8,-
FUTU,56.33,Neutral,109.23,75.89,18,13,3,2,0,0,27,-2.3,-5.8,13.8,0.9,-0.2,-2.6,-13.8,61.0,-55.3,-3.6,-3.7,-2.2,-3.7,-4.8,"Downtrend, Oversold(RSI)"
DY,55.0,Neutral,272.09,75.0,11,10,1,0,0,0,25,-4.9,-15.3,27.0,0.89,-2.0,-6.4,-11.6,46.5,-50.7,-7.4,-7.5,-6.0,-7.5,-8.6,"Downtrend, Oversold(RSI)"
